ID,bulkdens,Lat,Lon,Ortho,Salinity,DomVeg,Core,Ht,B,Sa,Se,Sp,Iva,Lm,Ss,Sl,Ds,Richness,LOI,Site,perOM,OM,percC,PolyEqC,adjustedC,less10,NEAR_FC,BarrDist,MainDist,carbon
216,0.670012625,37.55935244,-75.6328883,-0.05649248,35,TSa,Y,NA,40,60,0,0,0,0,0,0,0,1,266,P,0.058305831,5.8305831,2.215298296,1.484277827,0.014842778,,BarrierCoast_1,623.5974904,6783.957144,0.039065643
217,0.407683595,37.55934039,-75.63283625,-0.10533423,35,TSa,Y,NA,50,50,0,0,0,0,0,0,0,1,324,P,0.06298265,6.298265,2.412890753,0.983695976,0.00983696,,BarrierCoast_1,619.6640645,6788.245617,0.025676993
218,0.927650304,37.5623397,-75.63687702,0.4176199,67,Se,Y,NA,20,20,60,0,0,0,0,0,0,2,318,P,0.036642438,3.6642438,1.308593792,1.213917429,0.012139174,,BarrierCoast_1,1105.050353,6300.119739,0.033991369
219,0.659753516,37.56232209,-75.636936,0.43494798,80,Se,Y,NA,10,5,85,0,0,0,0,0,0,2,263,P,0.043443443,4.3443443,1.591728392,1.050148403,0.010501484,,BarrierCoast_1,1107.129433,6297.611431,0.028661964
220,0.972424356,37.56226101,-75.63703211,0.43886451,68,Se,Y,NA,6,45,45,0,0,4,0,0,0,3,265,P,0.042083167,4.2083167,1.534987336,1.492659072,0.014926591,,BarrierCoast_1,1107.867721,6295.959475,0.040922697
221,0.667280299,37.56215355,-75.6370336,0.45611386,98,Se,Y,NA,60,10,30,0,0,0,0,0,0,2,316,P,0.046342436,4.6342436,1.712839008,1.142943725,0.011429437,,BarrierCoast_1,1099.163097,6303.943678,0.030923395
222,0.53514916,37.56219769,-75.63719538,0.45688181,79,Se,Y,NA,5,5,90,0,0,0,0,0,0,2,114,P,0.081502197,8.1502197,3.201772946,1.713426103,0.017134261,,BarrierCoast_1,1112.431483,6290.111739,0.043615832
223,0.527313056,37.5719097,-75.6180163,-0.13566623,39,TSa,Y,NA,60,40,0,0,0,0,0,0,0,1,259,P,0.087273818,8.7273818,3.449731251,1.819088329,0.018190883,,BarrierCoast_1,117.2692727,6912.609429,0.046020624
224,0.433692241,37.57181719,-75.61803936,-0.17341095,40,TSa,Y,NA,50,50,0,0,0,0,0,0,0,1,131,P,0.103212115,10.3212115,4.13965692,1.795337086,0.017953371,,BarrierCoast_1,125.6265207,6917.407,0.044762293
225,0.41850979,37.57175835,-75.61811165,-0.17722378,35,TSa,Y,NA,25,75,0,0,0,0,0,0,0,1,6,P,0.100886918,10.0886918,4.038530648,1.690164613,0.016901646,,BarrierCoast_1,134.7412865,6916.486693,0.042222163
226,0.441966547,37.57168929,-75.61801046,-0.2145746,34,TSa,Y,NA,50,50,0,0,0,0,0,0,0,1,306,P,0.097002997,9.7002997,3.86997489,1.710399439,0.017103994,,BarrierCoast_1,133.7478508,6928.254947,0.04287208
228,0.413560672,37.57038482,-75.63652343,0.24704132,36,SSa,Y,NA,10,90,0,0,0,0,0,0,0,1,262,P,0.115607514,11.5607514,4.68148825,1.936079427,0.019360794,,BarrierCoast_1,1569.238288,5733.673828,0.047810721
229,0.397012059,37.57036341,-75.63645528,0.2405667,39,SSa,Y,NA,5,95,0,0,0,0,0,0,0,1,310,P,0.133088891,13.3088891,5.453473657,2.165094805,0.021650948,,BarrierCoast_1,1563.022425,5739.867462,0.052837895
230,0.308907448,37.57031745,-75.63638672,0.35342243,40,SSa,Y,NA,0,100,0,0,0,0,0,0,0,1,129,P,0.214954192,21.4954192,9.190677552,2.839068748,0.028390687,,BarrierCoast_1,1555.110457,5747.782628,0.066400951
231,0.34442768,37.5702314,-75.63633165,0.36940547,40,SSa,Y,NA,10,90,0,0,0,0,0,0,0,1,330,P,0.131613161,13.1613161,5.387950461,1.855759277,0.018557593,,BarrierCoast_1,1545.423611,5757.53026,0.045331216
232,0.527699706,37.5702749,-75.63641407,0.37518906,49,SSa,Y,NA,5,85,10,0,0,0,0,0,0,2,127,P,0.137472506,13.7472506,5.648493766,2.9807085,0.029807085,,BarrierCoast_1,1554.138496,5748.82597,0.072544201
233,0.407967138,37.5681525,-75.67194501,0.3258163,39,SSa,Y,NA,0,100,0,0,0,0,0,0,0,1,312,P,0.113672655,11.3672655,4.596607529,1.875264818,0.018752648,,MainCoast_1,4046.57243,3376.219262,0.046374708
234,0.302075278,37.56805552,-75.67194291,0.41752817,40,SSa,Y,NA,0,100,0,0,0,0,0,0,0,1,317,P,0.154232857,15.4232857,6.399451021,1.933115946,0.019331159,,MainCoast_1,4039.897088,3381.672596,0.046589933
235,0.384716594,37.56797252,-75.67185316,0.50153089,50,SSa,Y,NA,0,74,25,0,0,1,0,0,0,3,311,P,0.17573888,17.573888,7.375385228,2.837433084,0.028374331,,MainCoast_1,4028.009352,3393.114226,0.067609663
236,0.346850686,37.5678597,-75.67197824,0.48483955,45,SSa,Y,NA,0,80,20,0,0,0,0,0,0,2,260,P,0.174138275,17.4138275,7.302272541,2.53279824,0.025327982,,MainCoast_1,4029.263682,3389.729431,0.06039998
237,0.384355721,37.56793996,-75.67213862,0.38145494,40,TSa,Y,NA,10,90,0,0,0,0,0,0,0,1,261,P,0.148701105,14.8701105,6.150665955,2.364043648,0.023640436,,MainCoast_1,4045.940471,3373.00647,0.05715412
238,0.383453538,37.56736485,-75.66454815,0.07982078,NA,TSa,Y,NA,60,40,0,0,0,0,0,0,0,1,142,P,0.104,10.4,4.17396,1.600519729,0.016005197,,BarrierCoast_1,3433.970973,3996.051797,0.039879168
239,0.419463527,37.56739052,-75.66456337,0.06701219,35,TSa,Y,NA,60,40,0,0,0,0,0,0,0,1,332,P,0.103248376,10.3248376,4.141235249,1.737097144,0.017370971,,BarrierCoast_1,3436.516279,3993.599269,0.043308928
240,0.498056551,37.5673139,-75.66460723,0.14619157,37,TSa,Y,NA,40,60,0,0,0,0,0,0,0,1,308,P,0.125635657,12.5635657,5.123214387,2.551650488,0.025516505,,BarrierCoast_1,3435.853361,3993.8293,0.062573662
241,0.474883337,37.56725754,-75.66451842,0.1328492,40,TSa,Y,NA,40,60,0,0,0,0,0,0,0,1,315,P,0.133366584,13.3366584,5.465810677,2.595622414,0.025956224,,BarrierCoast_1,3425.974166,4003.62307,0.063333568
245,0.480451095,37.50932542,-75.72518408,0.29794458,37,SSa,Y,NA,30,70,0,0,0,0,0,0,0,1,130,P,0.075727579,7.5727579,2.954686012,1.41958213,0.014195821,,MainCoast_1,5064.656631,2733.56689,0.036383398
